,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Requirements Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORT TABLE - DO NOT PRINT  - DO NOT DELETE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SSI Update Step 1: Please download the ATCP SSI latest file from the site link below and unzip it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Client Name,Hawaiian Airlines,,SSI FILE LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Engagement Name,Hawaiian Airlines,,"SSI Update Step 2: Click the button ""Update SSI"" to start the update process and choose the unzipped file from step 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Proposed Start Date ,15 October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Developer 2,,,,,,,,,,,,,,,,,,,,,,
To be consistent with ABACUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engagement,"Application/
Project Name",Sub-Project,Sub-sub-project,"New/ 
Ramp Up 
Demand",Skill,Specialty,Capability,"Additional Skills Required 
(Nice to have)",Skills Flexibility/ Possible alternatives,Level,Number of Resources Required,RHL Flag,Priority,Assigned Role,"Demand/
Rate Type","Client
Interview
Required?","Chargeable
Demand?",Career Track,"Resource Pool 
(DC / Avanade)","Start Date 
(dd-Month-yyyy)","End Date 
(dd-Month-yyyy)",Home Office,Work Location,"Onsite 
Component
Present? (Y/N)","Onsite Component:
Work Location 
(Country - City)","Onsite Component:
Duration (weeks)",Date Demand Sent to DC Demand Management,Code,Bill Code,Bill Code Reference,Comments,Ready to Hard Lock Date,"UR
Number","RRD
Number",Use this field to map each role to the Resoure Planner/Staffing Plan,
,,,,New,Program Project Mgmt,Program Project Mgmt,Program Project Mgmt,,,6 - Senior Manager,0.10,,Normal,Dellivery Lead,Long Term,,,Client Delivery & Operations,,15 October 2018,14 October 2019,Manila,Manila,,,,,,,Regular,,,UR394356,R495816,albert.j.s.jimenez,
,,,,New,Mule Enterprise Service Bus (ESB),Open Source Intgration & Proc,Open Source,,,8 - Consultant,1.00,,Normal,Developer 1,Long Term,,,Client Delivery & Operations,,15 October 2018,14 October 2019,Manila,Manila,,,,,,,Regular,,,UR394357,R495817,victory.c.bolante,
,,,,New,Mule Enterprise Service Bus (ESB),Open Source Intgration & Proc,Open Source,,,9 - Consultant,1.00,,Normal,Developer 2,Long Term,,,Client Delivery & Operations,,15 October 2018,14 October 2019,Manila,Manila,,,,,,,Regular,,,UR394358,R495818,,
,,,,New,Salesforce Testing,Salesforce,Software as a Service,,,9 - Consultant,1.00,,Normal,Automation  Tester,Long Term,,,Client Delivery & Operations,,15 October 2018,14 October 2019,Manila,Manila,,,,,SFDC15,,Regular,,,UR394359,R495819,,
